"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"STAU1",0.00105806693933082,0.394107144681051,0.448,0.362,1
"DTYMK",0.00117634067852988,0.367944591023199,0.499,0.415,1
"ERBIN",0.00118276026434968,0.569745799825355,0.267,0.198,1
"MIR4435-2HG",0.00118898610811948,-0.609675933059096,0.189,0.255,1
"CETN3",0.00121356053674457,0.389308931112958,0.33,0.245,1
"RC3H1",0.00125054784740216,0.473497911958045,0.26,0.184,1
"TJP1",0.00126243527758918,0.250471341126157,0.702,0.621,1
"IKBIP",0.00126314014600686,0.414971967765022,0.326,0.245,1
"DDX3X",0.00126681693572065,0.378733442188209,0.481,0.392,1
"UBQLN1",0.0013248762815976,0.460207442519601,0.32,0.238,1
"POLD4",0.0013286453509768,-0.296770675412907,0.551,0.628,1
"HERC4",0.00134989200800111,0.471276594391691,0.467,0.392,1
"CALM3",0.00139004523390379,0.270852031490818,0.584,0.489,1
"ROCK1",0.00139131879048478,0.532712400977972,0.256,0.181,1
"U2AF2",0.00139416742681442,0.466003261116232,0.333,0.257,1
"DEK",0.00140890030981423,0.257241618701072,0.749,0.7,1
"BCL3",0.00144560278528175,0.384665087272154,0.432,0.345,1
"PTBP3",0.0015179949963937,0.410065261395449,0.423,0.331,1
"KPNA4",0.00153849564020229,0.415410238372258,0.36,0.283,1
"PAPOLA",0.00154338766340915,0.329691860431388,0.442,0.356,1
"POLR2K",0.00157391893295744,0.413866327752675,0.36,0.282,1
"GRB2",0.00157537503786748,0.445991713295556,0.365,0.28,1
"TUBB3",0.00157666071771047,0.583397899636442,0.273,0.201,1
"HES1",0.00160754475909787,-0.263417316956202,0.672,0.72,1
"MSL3",0.00166293297910854,0.369130709537707,0.31,0.228,1
"CAPRIN1",0.00167005822050683,0.358481026921053,0.493,0.407,1
"COMMD4",0.00167271400549525,0.496958975419065,0.289,0.218,1
"ANP32A",0.00167314237416376,0.293311945043512,0.657,0.594,1
"DHX15",0.00178520180841961,0.436942878416734,0.41,0.324,1
"ARIH1",0.00179063256619805,0.390705342041555,0.499,0.423,1
"IST1",0.00181425607035569,0.32720535077492,0.401,0.307,1
"EPB41L2",0.00186687170230462,0.380727795208787,0.326,0.243,1
"MIR31HG",0.00188442836175079,0.495412173782324,0.42,0.336,1
"ACTR3",0.00192673431637484,0.457840532961905,0.344,0.271,1
"ARIH2",0.00193018943122059,0.458933469865864,0.288,0.214,1
"ACBD3",0.00201200004879479,0.392043449315793,0.401,0.328,1
"MAP1LC3B",0.00201378386529963,0.402405750125308,0.301,0.22,1
"NDUFV3",0.00206292483691607,-0.365592665100961,0.36,0.437,1
"RPS4Y1",0.00207205573604551,-0.287001751341866,0.619,0.692,1
"ATP1B1",0.00212609514339118,-0.366743874864663,0.416,0.486,1
"TM4SF1",0.0021770428675579,0.265408450142455,0.674,0.627,1
"RNMT",0.00230496920204355,0.355541547160764,0.302,0.226,1
"PAQR5",0.0023542459186664,-0.417825139554637,0.257,0.327,1
"OSBPL9",0.00238689588050845,-0.442748340408661,0.25,0.314,1
"TMEM167A",0.0024147010671559,0.336691180778708,0.391,0.31,1
"ACLY",0.00244141855098293,0.292634430066006,0.507,0.427,1
"MYO19",0.00244512192116627,-0.486221963755211,0.199,0.266,1
"FUBP1",0.00246191887639749,0.378284817573658,0.298,0.214,1
"RAD50",0.00246654811464155,0.421791596526444,0.358,0.276,1
"DHRSX",0.00250310348396297,-0.332070708321052,0.371,0.444,1
"PSMD12",0.00250562474457298,0.260046838356889,0.531,0.444,1
"RPAP3",0.00253168826845737,0.306547400789924,0.528,0.441,1
"UBA2",0.0025545730350681,0.393019167168607,0.474,0.401,1
